date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:12	16653/16653	---M--	200	added ('OK')	image/jpeg	etag:%22410d-5b03281cb7000%22	https://kaamastra.co.in/images/testimonial-2.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/testimonial-2.jpg	(from https://kaamastra.co.in/)
15:13:12	25818/25818	---M--	200	added ('OK')	image/jpeg	etag:%2264da-5b03281e9f480%22	https://kaamastra.co.in/images/testimonial-3.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/testimonial-3.jpg	(from https://kaamastra.co.in/)
15:13:13	16233/16233	---M--	200	added ('OK')	image/jpeg	etag:%223f69-5b03281e9f480%22	https://kaamastra.co.in/images/testimonial-4.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/testimonial-4.jpg	(from https://kaamastra.co.in/)
15:13:13	2066246/2066246	---M--	200	added ('OK')	image/gif	etag:%221f8746-5b0327f4a9180%22	https://kaamastra.co.in/images/05.gif	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/05.gif	(from https://kaamastra.co.in/)
15:13:14	18423/18423	---M--	200	added ('OK')	image/jpeg	etag:%2247f7-5b0327f879a80%22	https://kaamastra.co.in/images/Jg4dOFht_400x400.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/Jg4dOFht_400x400.jpg	(from https://kaamastra.co.in/)
15:13:14	85888/85888	---M--	200	added ('OK')	text/html	etag:%2214f80-5b0327f879a80%22	https://kaamastra.co.in/images/indexs.jfif	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/indexs.html	(from https://kaamastra.co.in/)
15:13:14	21402/21402	---M--	200	added ('OK')	image/gif	etag:%22539a-5b0328001ac80%22	https://kaamastra.co.in/images/source.gif	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/source.gif	(from https://kaamastra.co.in/)
15:13:14	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/https___kaamastra.co.in_/code.jquery.com/jquery-3.5.1.min.js	(from https://kaamastra.co.in/)
15:13:15	68881/68881	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210d11-cVNNtrOTvWnbnOql/2B9xKFEggo%22	https://cdn.jsdelivr.net/npm/sweetalert2@11.4.15/dist/sweetalert2.all.min.js	C:/My%20Web%20Sites/https___kaamastra.co.in_/cdn.jsdelivr.net/npm/sweetalert2@11.4.15/dist/sweetalert2.all.min.js	(from https://kaamastra.co.in/)
15:13:15	18453/18453	---M-Z	200	added ('OK')	application/javascript	etag:%225fd7ca03-4815%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/2.6.0/umd/popper.min.js	C:/My%20Web%20Sites/https___kaamastra.co.in_/cdnjs.cloudflare.com/ajax/libs/popper.js/2.6.0/umd/popper.min.js	(from https://kaamastra.co.in/)
15:13:16	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e1d98d47689e00f8ecbc5d9f61bdb42e%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/https___kaamastra.co.in_/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://kaamastra.co.in/)
15:13:16	125617/125617	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf2-1eab1%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.6/js/swiper.min.js	C:/My%20Web%20Sites/https___kaamastra.co.in_/cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.6/js/swiper.min.js	(from https://kaamastra.co.in/)
15:13:16	1014/1014	---M-Z	200	added ('OK')	application/javascript	etag:%223f6-5b03283582a80-gzip%22	https://kaamastra.co.in/js/morphext.min.js	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/js/morphext.min.js	(from https://kaamastra.co.in/)
15:13:16	5742/5742	---M-Z	200	added ('OK')	application/javascript	etag:%22166e-5dfa70d3a2480-gzip%22	https://kaamastra.co.in/js/scripts.js	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/js/scripts.js	(from https://kaamastra.co.in/)
15:13:17	1066/1066	---M--	200	added ('OK')	image/png	etag:%2242a-5b0327f2c0d00%22	https://kaamastra.co.in/images/down-arrow.png	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/down-arrow.png	(from https://kaamastra.co.in/css/styles.css)
15:13:17	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Nov%202023%2009:43:18%20GMT	https://kaamastra.co.in/images/header-background.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/header-background.jpg	(from https://kaamastra.co.in/css/styles.css)
15:13:18	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Nov%202023%2009:43:18%20GMT	https://kaamastra.co.in/images/download-background.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/download-background.jpg	(from https://kaamastra.co.in/css/styles.css)
15:13:18	40590/40590	---M--	200	added ('OK')	image/jpeg	etag:%229e8e-5b0327f2c0d00%22	https://kaamastra.co.in/images/contact-background.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/contact-background.jpg	(from https://kaamastra.co.in/css/styles.css)
15:13:18	1130/1130	---M--	200	added ('OK')	image/png	etag:%2246a-5b03282a10f80%22	https://kaamastra.co.in/images/up-arrow.png	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/up-arrow.png	(from https://kaamastra.co.in/css/styles.css)
